DATE,NO2,TRANSITS,TEMPERATURE C,WIND km/h,RAIN
2020-06-22,33.0,113841.0,25.0,7,False
2020-06-23,63.0,116655.0,26.0,5,False
2020-06-24,68.0,121573.0,26.0,10,False
2020-06-25,59.0,121928.0,25.0,10,True
2020-06-26,51.0,112803.0,25.0,8,False
2020-06-29,21.0,116090.0,27.0,9,False
2020-06-30,40.0,121396.0,26.0,7,False
2020-07-01,41.0,121578.0,25.0,7,True
2020-07-02,49.0,120430.0,26.0,7,True
2020-07-03,41.0,107612.0,24.0,11,True
2020-07-06,54.0,111713.0,27.0,5,False
2020-07-07,50.0,116607.0,24.0,16,False
2020-07-08,36.0,119116.0,24.0,7,False
2020-07-09,50.0,118603.0,25.0,5,False
2020-07-10,60.0,107819.0,27.0,5,False
2020-07-13,16.0,110510.0,23.0,11,False
2020-07-14,45.0,118541.0,23.0,10,False
2020-07-15,47.0,120961.0,22.0,7,True
2020-07-16,60.0,120091.0,23.0,5,False
2020-07-17,53.0,107800.0,24.0,11,False
2020-07-20,36.0,107219.0,26.0,6,False
2020-07-21,41.0,116509.0,27.0,6,False
2020-07-22,44.0,121835.0,27.0,7,True
2020-07-23,50.0,117732.0,26.0,7,False
2020-07-24,44.0,103358.0,21.0,10,True
2020-07-27,26.0,106697.0,26.0,5,False
2020-07-28,50.0,117806.0,27.0,5,True
2020-07-29,65.0,119128.0,28.0,5,False
2020-07-30,44.0,118250.0,30.0,6,False
2020-07-31,54.0,105607.0,29.0,5,False
2020-08-03,16.0,82564.0,21.0,7,True
2020-08-04,52.0,90058.0,22.0,10,True
2020-08-05,58.0,86781.0,23.0,7,False
2020-08-06,55.0,82489.0,25.0,5,False
2020-08-07,51.0,74056.0,26.0,6,False
2020-08-24,21.0,62287.0,24.0,7,False
2020-08-25,37.0,69711.0,25.0,8,False
2020-08-26,31.0,72580.0,25.0,6,False
2020-08-27,46.0,75458.0,25.0,6,False
2020-08-28,51.0,74454.0,24.0,9,True
2020-08-31,18.0,98784.0,20.0,5,True
2020-09-01,36.0,120918.0,20.0,6,False
2020-09-02,43.0,126641.0,20.0,9,False
2020-09-03,54.0,130446.0,20.0,4,False
2020-09-04,76.0,126798.0,22.0,4,False
2020-09-07,36.0,128981.0,21.0,8,True
2020-09-08,51.0,142108.0,22.0,6,False
2020-09-09,75.0,145584.0,22.0,5,False
2020-09-10,81.0,146725.0,23.0,4,False
2020-09-11,74.0,140446.0,23.0,5,False
2020-09-14,56.0,136580.0,24.0,5,False
2020-09-15,89.0,147582.0,23.0,4,False
2020-09-16,78.0,151121.0,24.0,4,False
2020-09-17,84.0,154363.0,24.0,4,False
2020-09-18,74.0,149510.0,25.0,7,False
2020-09-21,52.0,139473.0,21.0,4,True
2020-09-22,65.0,149027.0,19.0,8,True
2020-09-23,59.0,156014.0,20.0,5,True
2020-09-24,61.0,157278.0,19.0,9,True
2020-09-25,69.0,152818.0,16.0,15,True
2020-09-28,36.0,139054.0,14.0,6,False
2020-09-29,76.0,150722.0,16.0,5,False
2020-09-30,70.0,151605.0,17.0,5,False
2020-10-01,67.0,153164.0,18.0,4,False
2020-10-02,72.0,145085.0,17.0,25,True
2020-10-05,31.0,136335.0,14.0,6,True
2020-10-06,58.0,146685.0,14.0,4,False
2020-10-07,61.0,152079.0,17.0,9,False
2020-10-08,62.0,151672.0,15.0,4,False
2020-10-09,90.0,149630.0,14.0,3,False
2020-10-12,24.0,132494.0,11.0,5,False
2020-10-13,73.0,142631.0,10.0,4,False
2020-10-14,95.0,142696.0,11.0,5,True
2020-10-15,81.0,141227.0,11.0,6,True
2020-10-16,65.0,141600.0,12.0,4,True
2020-10-19,78.0,127214.0,11.0,3,False
2020-10-20,77.0,133355.0,11.0,3,False
2020-10-21,68.0,132589.0,13.0,4,False
2020-10-22,71.0,130068.0,13.0,6,True
2020-10-23,51.0,127783.0,14.0,6,True
2020-10-26,53.0,107706.0,14.0,12,True
2020-10-27,55.0,115444.0,12.0,7,True
2020-10-28,77.0,117181.0,12.0,3,False
2020-10-29,87.0,116937.0,12.0,4,False
2020-10-30,76.0,114398.0,12.0,4,False
2020-11-02,47.0,104152.0,12.0,5,False
2020-11-03,52.0,109584.0,14.0,3,False
2020-11-04,48.0,117786.0,15.0,4,False
2020-11-05,47.0,124371.0,13.0,4,False
2020-11-06,68.0,92488.0,14.0,3,False
2020-11-09,72.0,94968.0,11.0,4,False
2020-11-10,88.0,97801.0,10.0,3,False
2020-11-11,80.0,99697.0,9.0,4,False
2020-11-12,70.0,102656.0,11.0,3,False
2020-11-13,69.0,98796.0,11.0,4,False
2020-11-16,41.0,97497.0,10.0,5,True
2020-11-17,59.0,100155.0,6.0,4,False
2020-11-18,92.0,104134.0,7.0,6,False
2020-11-19,60.0,105937.0,6.0,4,False
2020-11-20,75.0,100068.0,8.0,5,False
2020-11-23,63.0,102178.0,5.0,4,False
2020-11-24,95.0,107105.0,5.0,3,False
2020-11-25,108.0,110137.0,4.0,3,False
2020-11-26,135.0,111689.0,3.0,3,False
2020-11-27,129.0,112347.0,3.0,4,False
2020-11-30,71.0,117581.0,5.0,7,False
2020-12-01,66.0,121676.0,6.0,7,True
2020-12-02,62.0,122381.0,2.0,5,True
2020-12-03,67.0,129893.0,2.0,5,False
2020-12-04,72.0,129432.0,3.0,13,True
2020-12-09,59.0,136211.0,6.0,6,True
2020-12-10,72.0,140761.0,6.0,4,True
2020-12-11,76.0,138520.0,3.0,3,True
2020-12-14,84.0,134867.0,1.0,3,False
2020-12-15,115.0,139948.0,5.0,4,True
2020-12-16,123.0,144196.0,7.0,5,True
2020-12-17,58.0,147618.0,8.0,4,False
2020-12-18,77.0,148906.0,7.0,4,True
2020-12-21,48.0,130013.0,8.0,5,True
2020-12-22,49.0,139509.0,9.0,5,False
2020-12-23,54.0,134138.0,9.0,3,True
2020-12-24,65.0,70397.0,9.0,4,True
2020-12-28,51.0,64163.0,1.0,8,True
2020-12-29,58.0,87912.0,-1.0,4,True
2020-12-30,79.0,94358.0,2.0,5,False
2020-12-31,74.0,56571.0,-1.0,4,False
2021-01-04,60.0,96555.0,6.0,6,True
2021-01-05,66.0,78731.0,5.0,7,True
2021-01-07,48.0,116556.0,4.0,5,False
2021-01-08,70.0,123219.0,2.0,2,False
2021-01-11,79.0,117448.0,-1.0,4,False
2021-01-12,105.0,123944.0,0.0,6,False
2021-01-13,87.0,125267.0,4.0,10,False
2021-01-14,109.0,128843.0,4.1,11,False
2021-01-15,82.0,130330.0,4.0,4,False
2021-01-18,74.0,111148.0,-2.0,4,False
